271373	26	23804389	3
271374	21	15506578	3
271375	17	6093759	3
271376	16	24656511	3
271377	10	5788368	3
271378	10	3420583	3
271379	9	24810936	3
271380	9	12282547	3
271381	6	6177695	3
271382	6	357087	3
271383	6	13113875	3
271384	5	2508113	3
271385	5	4969675	3
271386	5	12739991	3
271387	5	21631764	3
271388	5	5555397	3
271389	5	23314456	3
271390	5	24449900	3
271391	4	10806179	3
271392	4	4578818	3
271393	4	17761219	3
271394	4	7544326	3
271395	4	2186186	3
271396	4	3660786	3
271397	4	4871574	3
271398	4	17295666	3
271399	4	2709700	3
271400	4	17955459	3
271401	4	23097872	3
271402	4	6288508	3
271403	4	21542819	3
271404	4	3114796	3
271405	4	7063431	3
271406	4	2871947	3
271407	4	21348605	3
271408	4	2848896	3
271409	4	1327880	3
271410	4	25195918	3
271411	4	25492655	3
271412	4	16537409	3
271413	4	24086105	3
271414	4	7383510	3
271415	4	1486165	3
271416	4	1824779	3
271417	4	21366177	3
271418	4	17109958	3
271419	4	17972396	3
271420	4	2577013	3
271421	4	4206466	3
271422	4	12138316	3
271423	4	6501970	3
271424	3	3815270	3
271425	3	23377154	3
271426	3	4183149	3
271427	3	19393653	3
271428	3	1899828	3
271429	3	2435124	3
271430	3	10964246	3
271431	3	2036003	3
271432	3	2951953	3
271433	3	1510819	3
271434	3	10035553	3
271435	3	15702620	3
271436	3	16681276	3
271437	3	1261191	3
271438	3	24772754	3
271439	3	2074938	3
271440	3	1726718	3
271441	3	8599367	3
271442	3	3322006	3
271443	3	11535321	3
271444	3	22202198	3
271445	3	2381003	3
271446	3	11387994	3
271447	3	6400227	3
271448	3	1727301	3
271449	3	24098851	3
271450	3	704599	3
271451	3	1963166	3
271452	3	3040479	3
271453	3	7138121	3
271454	3	3998775	3
271455	3	17655731	3
271456	3	19306347	3
271457	3	12429006	3
271458	3	711375	3
271459	3	23580461	3
271460	3	4280387	3
271461	3	1053307	3
271462	3	6986919	3
271463	3	25701477	3
271464	3	5992579	3
271465	3	9200504	3
271466	3	14335774	3
271467	3	1153815	3
271468	3	2030048	3
271469	3	24712255	3
271470	3	9679896	3
271471	3	17291378	3
271472	3	5047864	3
271473	3	6855463	3
271474	3	6257582	3
271475	3	8996918	3
271476	3	7902754	3
271477	3	2603930	3
271478	3	23813003	3
271479	3	15807896	3
271480	1	5025183	3
271481	1	5577964	3
271482	1	14915475	3
271483	1	7585367	3
271484	1	2596092	3
271485	1	21613154	3
271486	1	6980161	3
271487	1	1661182	3
271488	1	15740422	3
271489	1	3559354	3
271490	1	9010906	3
271491	1	24358078	3
271492	1	15499046	3
271493	1	13131633	3
271494	1	3494935	3
271495	1	24647863	3
